fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Jan,02,ANDHRA PRADESH,0204,EAST GODAVARI,4542119,217.888962136843,48,2012,6484.203028868,3955,9,25679,4542119,1746742,72031,83539,2872,965.65966,17346.6386369884,93541,131624,120236,193376,2348,183673,338837,29634,9896.77594812036,2454927,54,52.66,60.78,101.18,NA
2022-2023,Jan,02,ANDHRA PRADESH,0210,CHITTOOR,6896209,239.982821431531,49,1883,11375.082919171,13776,27,71720,6896111,2141212,103672,227600,11668,1575.96018,29500.5248460211,139370,227936,196291,362530,4113,256833,670952,85496,16549.4817468501,4140461,71,54.27,55.11,100.2,NA
2022-2023,Jan,02,ANDHRA PRADESH,0211,Y.S.R,6366117,215.96864954093,45,2215,9445.222801841,9234,15,50827,6365799,1322891,79372,98817,5245,2089.74988,25283.102814631,140587,225628,191342,354830,2850,259041,614601,60061,13748.13013279,4113041,59,43.13,60.87,100.05,NA
2022-2023,Jan,02,ANDHRA PRADESH,0220,PALNADU,6679027,183.618006176689,36,2071,8496.120808138,14822,35,25466,6678661,1667683,114128,502223,35332,845.0338,21604.3787756381,181708,318576,239907,433458,1128,302247,750185,40288,12263.2241675001,3592289,18,65.75,73.85,108.79,NA
2022-2023,Jan,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,7113875,209.194490475208,48,3440,11795.950872774,6498,0,42825,7113865,1100430,63857,459341,23400,1370.11088,28047.8753926181,145709,258120,214689,403663,5683,277128,649930,49323,14881.8136398441,3869305,61,40.77,78.15,101.36,NA
2022-2023,Jan,02,ANDHRA PRADESH,0226,KAKINADA,5660315,226.700735108934,37,3545,7566.746721907,6979,14,27649,5660270,1639511,91996,132211,8204,777.87389,21176.4943110575,152838,222468,201670,339041,723,270981,480465,34628,12831.8736991505,2893041,49,51,64.31,103.34,NA
2022-2023,June,02,ANDHRA PRADESH,0201,SRIKAKULAM,13073998,161.963748447566,43,6556,5586.680774313,78,30,56442,13073998,1217106,60759,740946,38418,416.88877,27178.7067770729,302803,441232,376434,662346,2037,424082,1023286,56520,21175.1372327599,9193761,52,39.26,91.4,100.74,NA
2022-2023,June,02,ANDHRA PRADESH,0208,PRAKASAM,13078546,188.106694495522,43,4245,4990.039889555,109,19,48308,13078512,3375281,201138,311106,20119,467.18854,30058.7850419552,303133,532985,381722,720996,1410,437868,1172087,48417,24601.5566124002,7396527,34,24.81,93.91,104.56,NA
2022-2023,June,02,ANDHRA PRADESH,0211,Y.S.R,4792159,199.070554085423,38,1963,4423.890982349,435,16,45270,4792021,990601,78984,71005,5177,312.18464,14275.5783789388,124695,197693,189806,352597,650,255796,759653,45705,9539.50275658982,3084654,49,51.98,89.2,100.05,NA
2022-2023,June,02,ANDHRA PRADESH,0212,ANANTAPUR,7162009,210.30359379102,42,3531,6058.730416758,228,0,54877,7162003,1423722,91718,263318,16648,552.21424,21672.8943531787,168880,296813,248011,463117,751,312836,1090666,55105,15061.9496964207,4017080,51,46.81,90.75,100.15,NA
2022-2023,June,02,ANDHRA PRADESH,0218,NTR,4900510,202.272456693475,39,2101,2399.89411794,423,12,31389,4900486,1957020,113537,335406,20693,89.93108,12402.1586200598,122514,209377,154341,286538,60,189618,617256,31812,9912.33342211979,2909353,33,83.61,87.8,102.38,NA
2022-2023,June,02,ANDHRA PRADESH,0221,NANDYAL,5042754,196.215042749853,34,1907,3639.82270617,182,35,34859,5042754,1515843,110638,175845,12385,245.92506,13780.3896830399,145763,250380,202924,388979,300,281199,913350,35041,9894.64191686992,3050487,23,69.65,91.41,100.27,NA
2022-2023,June,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,7297011,188.568528809967,45,4106,1801.5577716,42,24,47456,7297007,899182,45640,2631597,132519,175.58407,15737.0005886603,160818,277146,189346,368007,1921,207110,525493,47498,13759.8587470603,4284459,70,43.88,89.86,101.13,NA
2022-2023,Feb,02,ANDHRA PRADESH,0206,KRISHNA,6219983,231.663080634797,43,2274,8524.009438938,15356,0,45998,6220305,2316976,113648,91758,4556,1252.55357,24186.7131968183,142728,252081,164138,305585,493,213524,401534,61354,14410.1501878803,3388127,34,69.67,61.72,103.47,NA
2022-2023,Feb,02,ANDHRA PRADESH,0208,PRAKASAM,15564155,192.825774349505,48,4633,23885.231722416,16430,19,42903,15564096,4016381,201714,388155,20255,2633.53617,56530.3565249163,319573,564924,383279,723471,4861,440949,836049,59333,30011.5886325003,8851748,44,24.73,73.49,103.84,NA
