fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Aug,02,ANDHRA PRADESH,0221,NANDYAL,5292228,204.532945898589,35,1946,9349.924593273,962,35,36998,5292228,1574576,110730,189735,12399,471.1348,20645.409225343,148320,255475,203358,389696,403,282312,912442,37960,10824.34983207,3205659,28,66.11,86.11,100.37,NA
2022-2023,Aug,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5630049,206.120742353969,43,3100,10742.037621454,807,0,43108,5630039,881740,63703,367806,23334,524.38719,22871.102993072,129915,228298,213882,402285,1868,274307,934641,43915,11604.678181618,3060159,57,39.24,87.93,101.76,NA
2022-2023,Aug,02,ANDHRA PRADESH,0223,ANNAMAYYA,5699160,219.951273407739,46,1310,9335.663220302,2118,41,53407,5698928,1232582,65872,234854,12715,397.34768,22267.8756068922,122292,186188,187817,324844,1988,245281,760939,55525,12534.8647065902,3328929,60,49.66,80.12,100.18,NA
2022-2023,Aug,02,ANDHRA PRADESH,0224,TIRUPATI,6770021,189.051156870017,43,2368,8307.81088607,687,26,44772,6769968,2686991,151898,489683,30367,447.52194,21554.0356497999,155715,240140,219025,390324,1903,274013,799804,45459,12798.7028237299,4269521,53,53.21,87.35,104.96,NA
2022-2023,June,02,ANDHRA PRADESH,0202,VIZIANAGARAM,12518958,187.507668289168,43,7553,3186.031737444,252,22,50188,12518958,1447061,74019,314055,17569,388.97497,27049.0129473442,287400,440744,341909,628212,640,376280,924627,50440,23474.0062399002,8699122,45,21.19,94.72,100.29,NA
2022-2023,June,02,ANDHRA PRADESH,0206,KRISHNA,4557940,223.251763219356,35,2050,3116.44358605,762,0,47412,4557940,1743075,113119,59310,4477,244.95213,13537.0771325303,127661,224786,162235,302615,103,210199,626142,48174,10175.6814164803,2426993,25,92.99,92.72,104.32,NA
2022-2023,June,02,ANDHRA PRADESH,0215,ANAKAPALLI,7301401,181.049772834911,40,3373,2776.384375805,268,34,25205,7301386,587929,33475,273685,16159,183.13572,16178.662862605,179572,264856,231716,379862,340,285103,651877,25473,13219.1427668,5001525,30,27.55,88.76,100.1,NA
2022-2023,June,02,ANDHRA PRADESH,0217,ELURU,9643822,185.124709203551,39,3224,3797.954823342,471,14,42048,9440535,3528826,197905,914150,49424,209.29493,21484.0127193514,236500,396902,298175,551629,616,349450,1046712,42519,17476.7629660094,5379232,39,65.37,94.03,104.38,NA
2022-2023,June,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5220095,197.113113807878,41,3007,4522.255683831,99,2,41431,5220085,826518,63648,338683,23270,248.2344,15059.962170749,125731,220556,213514,401665,1226,273410,968709,41530,10289.472086918,2836172,55,39.67,91.39,101.88,NA
2022-2023,Oct,02,ANDHRA PRADESH,0215,ANAKAPALLI,7943043,190.338174857245,43,3447,8925.2472329,3032,28,26619,7943028,642850,33559,299961,16193,559.98046,24603.8422164999,184311,272955,232382,380737,764,286163,643016,29651,15118.6145235999,5453324,39,27.74,80.41,100.1,NA
2022-2023,Oct,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,7678108,198.913566015264,47,4152,7863.402596927,7675,23,43875,7678104,942713,45687,2803452,132655,566.74474,23702.9378056876,163362,282631,189555,368346,2641,207559,519345,51550,15272.7904687606,4501155,72,43.41,82.28,101.29,NA
2022-2023,Dec,02,ANDHRA PRADESH,0201,SRIKAKULAM,14905837,176.798344175235,47,6778,14617.027184198,7710,26,67704,14905837,1403581,60893,876761,38531,2037.37826,43007.6784456575,316134,465045,378552,665234,5397,427662,893704,75414,26353.2730014595,10519459,63,38.41,72.74,100.65,NA
2022-2023,Dec,02,ANDHRA PRADESH,0221,NANDYAL,5606322,210.305596033135,36,1970,10333.651578909,6683,34,35723,5606294,1643561,110877,202181,12419,1062.47632,23186.4779109789,151961,262442,203932,390658,582,284312,878585,42406,11790.3500120699,3387491,35,58.82,72.83,100.43,NA
2022-2023,Dec,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,6596696,212.417857221006,46,3314,11700.374702774,6478,0,42158,6596686,1023491,63824,425427,23379,1226.39681,26939.3105615721,140536,248346,214533,403385,4156,276591,876307,48636,14012.5390487981,3581932,60,40.62,78.55,101.47,NA
2022-2023,Dec,02,ANDHRA PRADESH,0223,ANNAMAYYA,6770506,228.451512194025,50,1443,10355.071173765,10721,40,55154,6770202,1415373,66070,281758,12786,944.14615,26765.8461713551,134460,206904,189198,326859,3125,247679,720722,65875,15466.6288475901,3955476,66,49.8,67.22,100.14,NA
2022-2023,Dec,02,ANDHRA PRADESH,0224,TIRUPATI,8221312,203.21859623274,48,2590,8906.583881516,9878,23,39930,8221251,3191651,152282,605178,30483,992.45153,26606.1462864861,168403,261899,220005,391794,8880,275794,747989,49808,16707.1108749701,5189432,54,48.9,78.25,103.91,NA
2022-2023,Dec,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,8026743,198.252363658026,48,4183,8366.174069527,8769,21,43569,8026739,999058,45733,2996443,132752,801.79994,25081.1738016876,164762,285790,189727,368618,4019,207875,499993,52338,15913.1997921606,4710883,72,42.95,78.62,101.23,NA
2022-2023,Nov,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13704531,200.724055072006,46,7746,9196.978370344,6070,10,57275,13704531,1622460,74152,350132,17612,1554.46228,38259.7310021441,295799,459174,343117,630032,1555,378691,905966,63345,27508.2903518001,9463758,55,23,76.4,100.28,NA
2022-2023,Nov,02,ANDHRA PRADESH,0207,GUNTUR,2411506,209.493681977588,35,626,2200.682981583,9162,2,16854,2411503,1124890,67775,66522,4193,596.34389,7848.973297283,67037,113099,81023,143743,155,131111,409927,26016,5051.9464257,1389811,25,74.59,71.84,108.2,NA
2022-2023,Nov,02,ANDHRA PRADESH,0211,Y.S.R,5984133,216.667458358859,43,2170,8345.533759491,7420,15,50545,5983890,1240008,79320,91629,5239,1679.80548,22990.4816134809,137617,220432,191138,354535,1652,258346,753171,57965,12965.1423739899,3863249,58,43.86,65.29,100.05,NA
2022-2023,Nov,02,ANDHRA PRADESH,0218,NTR,5513196,212.811933439947,42,2214,4954.700110315,12741,11,24037,5513157,2219578,113865,373755,20757,393.78366,17081.1397755948,128542,221278,155033,287606,185,190727,602913,36778,11732.6560052798,3270432,41,63.4,62.5,102.09,NA
2022-2023,Nov,02,ANDHRA PRADESH,0221,NANDYAL,5518302,209.565101414709,36,1964,9355.377376773,5873,35,36040,5518302,1623036,110842,198315,12410,936.60885,21856.4214094429,151074,260805,203779,390412,525,283825,900023,41913,11564.4351826699,3334519,35,60.65,76.14,100.44,NA
2022-2023,Nov,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,6337477,210.106512420468,45,3280,10769.641448254,6239,0,41841,6337467,985089,63797,409753,23367,1058.99281,25144.0651477521,138362,244246,214372,403110,3148,275957,914181,48080,13315.4308894981,3440436,60,40.26,79.6,101.54,NA
2022-2023,Jan,02,ANDHRA PRADESH,0201,SRIKAKULAM,15833881,175.277142352905,49,6875,15064.579740998,8077,25,68024,15833881,1510002,60934,955361,38550,2281.30276,45099.0566413576,320298,473250,378790,665591,8597,428294,796071,76101,27753.1741403596,11229400,63,38.4,72.38,100.61,NA
2022-2023,Jan,02,ANDHRA PRADESH,0212,ANANTAPUR,9404658,210.397105754794,49,4068,17275.698887208,12778,0,49583,9404539,1814945,91896,361407,16727,2406.80249,39469.3792427889,191867,344216,249079,464934,3522,315482,708002,62361,19786.8778655809,5264348,55,43.21,74.41,100.31,NA
2022-2023,Jan,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,9764868,228.948288772368,51,2922,15841.863093556,9940,1,55913,9764847,219692,9712,8841626,385717,1129.27169,39327.5848912959,189082,346834,214939,422286,11281,239972,551115,65853,22356.4501077399,5147922,75,66.68,82.93,101.66,NA
2022-2023,Jan,02,ANDHRA PRADESH,0221,NANDYAL,5892350,205.878868538921,37,2036,10636.382458909,6740,34,36746,5892322,1710955,110939,216050,12430,1201.03474,23968.4630631789,155282,268693,204144,390998,743,284914,591008,43486,12131.0458642699,3550916,36,58.99,72.41,100.44,NA
2022-2023,Jan,02,ANDHRA PRADESH,0223,ANNAMAYYA,7247847,224.297589035592,51,1499,10752.402363765,11582,40,56080,7247540,1510749,66184,307812,12815,1070.62913,28079.0889781551,139857,216317,189931,327874,3747,248945,486130,67662,16256.0574843901,4245544,67,50.53,66.01,100.13,NA
